식품명,에너지(kcal),영양성분함량기준량,수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),업체명
라면_수타면,500,100g,0.0,9.99,15.1,0.0,81.15,1.09,0.0,0.0,0.0,0.0,0.0,1818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,0.0,"삼양식품(주),해당없음,해당없음"
라면_화끈뽀요면,434,100g,0.0,9.36,13.62,0.0,69.79,2.55,0.0,0.0,0.0,0.0,0.0,1609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,5.96,0.0,"(주)하림산업 함열식품 2공장,해당없음,해당없음"
라면_큰컵삼양라면매운맛,441,100g,0.0,9.09,15.45,0.0,66.36,1.82,0.0,0.0,0.0,0.0,0.0,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,"삼양식품(주),해당없음,해당없음"
라면_왕뚜껑컵,438,100g,0.0,7.69,13.85,0.0,70.77,4.62,0.0,0.0,0.0,0.0,0.0,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.0,"(주)팔도,해당없음,해당없음"
라면_팔도참깨라면,430,100g,0.0,8.7,14.78,0.0,65.22,4.35,0.0,0.0,0.0,0.0,0.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,6.96,0.0,"(주)팔도,해당없음,해당없음"
라면_큰컵맛있는라면,433,100g,0.0,8.93,16.07,0.0,63.39,2.68,0.0,0.0,0.0,0.0,0.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04,0.0,"삼양식품(주),해당없음,해당없음"
라면_더한키친 포차 큰컵,433,100g,0.0,8.19,14.17,0.0,69.02,2.29,0.0,0.0,0.0,0.0,0.0,1805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56,0.07,"(주)하림산업 함열식품 2공장,해당없음,해당없음"
라면_가락라면,414,100g,0.0,10.25,15.0,0.0,62.5,6.25,0.0,0.0,0.0,0.0,0.0,1555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.03,"주식회사두런,해당없음,해당없음"
라면_삶은라면,175,100g,62.0,3.61,4.17,0.57,29.65,0.0,3.9,97.0,0.42,40.0,44.0,79.0,0.0,0.0,0.0,0.021,0.277,0.422,0.0,0.0,0.0,1.93,0.03,"해당없음,해당없음,해당없음"
라면_진라면(매운맛),417,100g,0.0,9.17,12.5,0.0,66.67,3.83,0.0,0.0,0.0,0.0,0.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_콩나물김치라면,426,100g,0.0,8.7,13.91,0.0,66.96,2.61,0.0,0.0,0.0,0.0,0.0,1643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,0.0,"삼양식품(주)원주공장,해당없음,삼양식품㈜"
라면_우리밀구쁘라면,460,100g,0.0,9.82,16.96,0.0,66.96,3.57,0.0,0.0,0.0,0.0,0.0,1527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,7.14,0.0,"㈜새롬식품(완주공장),해당없음,한국우리밀농업협동조합"
라면_민생구리,422,100g,0.0,6.09,13.91,0.0,67.83,1.74,0.0,0.0,0.0,0.0,0.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,6.09,0.0,"㈜팔도,해당없음,㈜이마트24"
라면_맵탱 청양고추대파라면,427,100g,0.0,8.18,14.55,0.0,66.36,2.73,0.0,0.0,0.0,0.0,0.0,1636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,0.0,"삼양식품(주)익산공장,해당없음,해당없음"
라면_이백냥,421,100g,0.0,9.35,14.02,0.0,64.49,2.8,0.0,0.0,0.0,0.0,0.0,1682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48,0.0,"삼양식품(주),해당없음,해당없음"
라면_꽃게랑면,435,100g,0.0,9.0,14.0,0.0,68.0,5.0,0.0,0.0,0.0,0.0,0.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_큰컵삼양라면오리지널,427,100g,0.0,8.18,13.64,0.0,68.18,3.64,0.0,0.0,0.0,0.0,0.0,1636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,"삼양식품(주),해당없음,해당없음"
라면_우리쌀로만든밥라면,439,100g,0.0,9.18,15.31,0.0,66.33,1.02,0.0,0.0,0.0,0.0,0.0,1388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,"(주)새롬식품,해당없음,해당없음"
라면_안성탕면,420,100g,0.0,8.8,13.6,0.0,65.6,2.4,0.0,0.0,0.0,0.0,0.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,"(주)농심,해당없음,해당없음"
