인허가일자,영업상태명,폐업일자,소재지전체주소,사업장명,업태구분명,시설총규모
2002-09-24,폐업,2019-12-23,충청북도 진천군 진천읍 읍내리 474-40번지,교촌치킨,통닭(치킨),29.96
2010-06-28,폐업,2012-06-07,충청북도 청주시 흥덕구 가경동 779번지 (1층),네네치킨(강서가경2호점),통닭(치킨),28.35
2003-10-29,폐업,2011-08-01,충청북도 청주시 서원구 모충동 94-11번지 (1층),교촌치킨(꽃다리점),통닭(치킨),32.25
1988-09-30,폐업,2011-06-30,충청북도 영동군 영동읍 계산리 672-1번지,페리카나치킨,통닭(치킨),55.3
2006-08-17,폐업,2023-02-01,충청북도 청주시 청원구 오창읍 양청리 777-10 1층,네네치킨오창점,통닭(치킨),66.44
2003-08-30,폐업,2021-07-12,충청북도 충주시 용산동 606,네네치킨용산점,통닭(치킨),46.66
2010-05-25,폐업,2022-08-09,충청북도 청주시 흥덕구 복대동 292-19 외4필지(1층),노랑통닭 복대점,호프/통닭,87.84
1993-08-02,폐업,2010-04-13,충청북도 음성군 음성읍 읍내리 328-31번지,페리카나치킨,패스트푸드,36.4
2002-10-29,폐업,2013-08-13,충청북도 충주시 칠금동 890번지,원조페리카나치킨,통닭(치킨),78.2
1991-02-06,폐업,2012-01-10,충청북도 청주시 흥덕구 복대동 2377번지,페리카나개신점,호프/통닭,30.3
2003-01-18,폐업,2015-01-16,충청북도 청주시 상당구 용정동 917번지 (1층),네네치킨금천용암2점,통닭(치킨),27.8
1995-03-14,폐업,2015-10-26,충청북도 음성군 음성읍 읍내리 300-19번지,페리카나치킨 음성점,한식,35.0
2011-08-19,폐업,2016-09-05,충청북도 청주시 상당구 북문로2가 50-8번지 (1층),네네치킨 성안점,분식,41.59
2003-03-24,폐업,2010-10-15,충청북도 청주시 서원구 분평동 1319번지 (1층),네네치킨,호프/통닭,19.3
2003-07-23,폐업,2010-11-18,충청북도 청주시 상당구 용암동 1505번지,"맘스터치 용암,분평점",한식,56.16
1989-08-04,폐업,2011-09-07,충청북도 청주시 상당구 북문로2가 74-1번지 1층,페리카나치킨,통닭(치킨),61.2
1989-09-01,폐업,2006-01-20,충청북도 청주시 흥덕구 운천동 1371번지,페리카나,호프/통닭,33.21
2003-03-18,폐업,2012-07-26,충청북도 청주시 청원구 내수읍 마산리 138-16번지,교촌치킨,호프/통닭,29.93
2014-12-09,폐업,2018-01-26,충청북도 청주시 흥덕구 강서동 467번지 1층 105호,노랑통닭,통닭(치킨),80.7
1990-11-27,폐업,2011-06-08,충청북도 청주시 청원구 내덕동 721-6번지,페리카나시영분점,통닭(치킨),23.8
2005-05-26,폐업,2019-12-31,충청북도 청주시 서원구 개신동 544번지 (1층),페리카나피친호프,호프/통닭,32.39
1991-04-20,폐업,2009-12-28,충청북도 청주시 청원구 오창읍 장대리 277-1번지,페리카나치킨,한식,38.4
2010-04-19,폐업,2015-06-19,충청북도 청주시 서원구 사직동 211-3번지 (1층),"네네치킨운천,신봉점",통닭(치킨),20.79
1991-06-13,폐업,2007-02-07,충청북도 음성군 금왕읍 무극리 101-1번지,페리카나무극분점,패스트푸드,21.4
2002-11-21,폐업,2021-02-04,충청북도 충주시 용산동 598,교촌치킨용산성내점,통닭(치킨),51.51
2010-09-03,폐업,2014-05-19,충청북도 청주시 흥덕구 오송읍 만수리 569번지 103호,굽네치킨(오송점),통닭(치킨),40.42
1988-05-21,폐업,2022-04-25,충청북도 청주시 흥덕구 봉명동 1642 (1층),페리카나봉명점,통닭(치킨),28.58
1999-05-15,폐업,2011-08-08,충청북도 청주시 흥덕구 가경동 1483-1번지,교촌치킨,호프/통닭,32.48
2000-11-21,폐업,2016-04-07,충청북도 청주시 상당구 용담동 411번지 1층 102호,교촌치킨금천광장점,통닭(치킨),35.1
2003-05-13,폐업,2011-08-03,충청북도 청주시 상당구 용암동 2300번지,교촌치킨용암2호점,통닭(치킨),11.42
2009-05-26,폐업,2022-12-06,충청북도 충주시 단월동 335-1,네네치킨건대점(단월동),통닭(치킨),40.88
2016-10-11,폐업,2020-12-29,충청북도 제천시 장락동 635-9,푸라닭 제천장락점,분식,43.54
2005-10-05,폐업,2017-09-08,충청북도 제천시 청전동 639번지 (1층),네네치킨 고암장락점,통닭(치킨),35.28
2006-06-07,폐업,2023-04-12,충청북도 청주시 청원구 오창읍 각리 637-1 205호,페리카나,통닭(치킨),30.24
2005-12-29,폐업,2015-12-31,충청북도 청주시 청원구 우암동 120-25번지,네네치킨청대점,통닭(치킨),32.53
2004-10-20,폐업,2008-04-11,충청북도 제천시 장락동 842번지 (1층),맘스터치고암장락점,통닭(치킨),37.85
2006-08-08,폐업,2011-04-04,충청북도 충주시 용산동 1645번지,맘스터치충주2호점,통닭(치킨),29.11
2002-10-12,폐업,2011-04-06,충청북도 청주시 흥덕구 복대동 3034번지 삼일A115동108호,맘스터치,패스트푸드,38.0
2004-11-29,폐업,2014-12-23,충청북도 청주시 청원구 사천동 449-3번지 (1층),네네치킨사천점,통닭(치킨),33.18
2006-11-08,폐업,2013-11-28,충청북도 제천시 화산동 706번지,맘스터치,통닭(치킨),46.74
2005-09-14,폐업,2010-10-26,충청북도 청주시 상당구 용암동 2634번지,맘스터치,패스트푸드,131.97
2009-11-18,폐업,2010-10-29,충청북도 충주시 연수동 948번지,맘스터치칠금연수점,통닭(치킨),33.66
2009-02-23,폐업,2021-12-08,충청북도 청주시 서원구 개신동 266 (1층),자담치킨&호프 Cafe (개신점),한식,63.3
2009-04-29,폐업,2010-11-22,충청북도 청주시 서원구 수곡동 92-43번지 (2층),맘스터치분평수곡점,통닭(치킨),49.24
1985-12-31,폐업,2017-07-03,충청북도 청주시 서원구 모충동 443-11번지,페리카나치킨,한식,56.5
2015-06-25,폐업,2015-08-31,충청남도 태안군 소원면 의항리 0번지 4블럭 5롯트,네네치킨,호프/통닭,45.0
2013-06-25,폐업,2013-08-31,충청남도 태안군 소원면 의항리 4블럭 5롯트번지,네네치킨,통닭(치킨),93.6
1986-09-15,폐업,2009-03-26,충청북도 청주시 흥덕구 강서동 27-8번지,페리카나치킨,호프/통닭,27.0
2012-06-14,폐업,2022-02-10,충청남도 아산시 온천동 82-17 1층,페리카나 온천점,통닭(치킨),22.98
2008-09-25,폐업,2011-06-01,충청남도 금산군 금산읍 중도리 236-4번지,네네치킨,통닭(치킨),34.62
1990-12-21,폐업,2015-03-10,충청남도 예산군 삽교읍 두리 570-52번지,페리카나치킨,통닭(치킨),35.34
2008-02-12,폐업,2020-03-02,충청남도 아산시 권곡동 547-49번지,굽네치킨(권곡점),통닭(치킨),31.2
1998-02-14,폐업,2003-02-05,충청북도 청주시 상당구 미원면 미원리 535-2번지,페리카나치킨미원점,한식,23.18
1998-03-13,폐업,2009-05-11,충청북도 청주시 상당구 남일면 고은리 459-17번지,페리카나치킨,한식,28.8
2018-05-10,폐업,2023-01-03,경기도 의왕시 내손동 755-3 주영프라자 201호,페리카나 내손동점,정종/대포집/소주방,108.9
2011-05-19,폐업,2014-06-27,충청남도 부여군 부여읍 구아리 53-1번지,굽네치킨(부여점),통닭(치킨),60.0
2015-12-10,폐업,2023-07-21,충청남도 서산시 성연면 일람리 1106 1층,네네치킨(성연점),호프/통닭,42.15
2004-03-08,폐업,2012-10-08,충청남도 천안시 서북구 입장면 하장리 64-4번지,교촌치킨,통닭(치킨),40.59
