인허가일자,폐업일자,상세영업상태명,소재지전체주소,사업장명
2019-01-11,,영업중,부산광역시 연제구 연산동 822-6 시청스마트더블유아파트,(주)웰리빙헬스케어전문가그룹 올짐피트니스 시청점
2019-01-11,,영업중,전라남도 광양시 중동 1641-2번지,비케이짐 피트니스
2019-01-22,,영업중,부산광역시 서구 부민동1가 16-8 명보빌딩,워너짐
2019-01-17,,영업중,경상남도 양산시 동면 석산리 1449-4번지 301호,더 제이핏
2019-01-21,,영업중,대구광역시 서구 내당동 245-9번지,뉴대구헬스
2019-01-17,,영업중,대구광역시 북구 태전동 1124번지,히든짐
2019-01-17,,영업중,서울특별시 강남구 대치동 983-1번지 해암빌딩,(주)바운스 트램폴린파크 삼성센터
2019-01-18,,영업중,서울특별시 중랑구 면목동 56-2 이안애,바디플레이스
2019-01-21,,영업중,울산광역시 남구 삼산동 214-6번지,원피티(ONEPT)
2019-01-23,,영업중,인천광역시 강화군 강화읍 관청리 488-2번지 청원빌딩,맥스 휘트니스 클럽
