ID,price
1087,7999
1088,25750
1091,22995
1092,15275
1093,8700
1094,17000
1095,7995
1096,18695
1097,14590
1099,7495
1100,14990
1102,20990
1103,13800
1105,13000
1107,15445
1108,14995
1109,4390
1110,17500
1112,8999
1113,15499
1115,8690
1116,22495
1117,14000
1118,12343
1119,11998
1120,8990
1121,15995
1122,12499
1123,15998
1125,22491
1127,15998
1128,20250
1129,24995
1130,20875
1131,16995
1132,8000
1133,17195
1134,11995
1135,7998
1137,15498
1138,6995
1139,8199
1141,22450
1142,14500
1143,7331
1144,11698
1145,16298
1146,1999
1147,9998
1148,17390
1149,13998
1151,16998
1152,5498
1153,11495
1154,12995
1155,14298
1156,6000
1157,13994
1158,11490
1159,12495
1161,18495
1162,7740
1163,8940
1164,14795
1165,7500
1167,13495
1168,13000
1169,18990
1170,16995
1171,11695
1174,14998
1175,8397
1176,17096
1177,33791
1178,7995
1179,7484
1180,6290
1181,8490
1182,15325
1184,16996
1185,6000
1186,8900
1187,12698
1188,13498
1189,21690
1190,14989
1196,22000
1197,9695
1198,2895
1200,6885
1201,14498
1202,7569
1203,17950
1204,11495
1205,3995
1206,15797
1207,7999
1210,11995
1211,7259
1213,7500
1214,15798
1215,23500
1216,7570
1217,7190
1218,17690
1219,8800
1222,7998
1223,7000
1224,7750
1225,11699
1226,18480
1227,12498
1228,13698
1229,10299
1230,6798
1231,6250
1232,6000
1233,8500
1234,6895
1235,12163
1236,15498
1237,14998
1238,6200
1239,7190
1240,10399
1241,11498
1242,15698
1243,7551
1244,15498
1245,8649
1246,14998
1247,24480
1248,11498
1249,6900
1250,17995
1251,15249
1252,15800
1253,6400
1255,9991
1256,7500
1257,7100
1258,13998
1259,10999
1260,22000
1261,24999
1262,13990
1263,6999
1264,7299
1265,5690
1267,9000
1269,15890
1270,8549
1271,6650
1273,17150
1274,8000
1275,20990
1277,8895
1278,6800
1279,10995
1280,9495
1282,7000
1284,16799
1285,7340
1286,10950
1287,5450
1289,7997
1290,8295
1291,7995
1292,17480
1293,14025
1294,12750
1295,14900
1296,26995
1297,11830
1298,15000
1299,7495
1300,10733
1302,7500
1304,16990
1305,10890
1306,3491
1307,9495
1308,14497
1309,11400
1310,21390
1311,7900
1312,12394
1314,9795
1315,24495
1316,17695
1317,6995
1319,16995
1321,6500
1322,32995
1323,16786
1324,18495
1326,11741
1328,7745
1329,13830
1330,6995
1331,12500
1332,13910
1333,11000
1334,15995
1335,7995
1336,10000
1337,6498
1338,7699
1340,7799
1342,9200
1343,11990
1344,15200
1345,16040
1346,11784
1348,7659
1349,15200
1350,9985
1351,8450
1352,11298
1353,8995
1355,9950
1357,13709
1358,23991
1359,15469
1360,11470
1361,7590
1362,8998
1363,11295
1364,15795
1365,19936
1366,13500
1368,2495
1369,18490
1370,7999
1371,7291
1372,13498
1373,22680
1374,10970
1377,18967
1378,7291
1379,6870
1380,13295
1381,9498
1382,14550
1383,9500
1384,15990
1386,6610
1388,13695
1390,7999
1391,7810
1392,5490
1393,7999
1394,13998
1395,7995
1396,9500
1397,9000
1398,9121
1399,16990
1400,10290
1402,7495
1403,13999
1405,5722
1406,10995
1407,7995
1408,7998
1409,4250
1410,16000
1413,6000
1415,13695
1416,14498
1417,22995
1419,7995
1420,13995
1421,8998
1422,9799
1423,14950
1424,15990
1426,22891
1427,9470
1430,4599
1431,7495
1432,9750
1433,17500
1434,16500
1435,12970
1436,15850
1437,7485
1438,8995
1439,5000
1440,8998
1441,8420
1442,14195
1443,6900
1444,14990
1446,12698
1448,18500
1452,12995
1453,13890
1454,10299
1455,14495
1456,9995
1459,4195
1460,15500
1461,12980
1462,15500
1463,18480
1465,9995
1466,12480
1468,12790
1469,12499
1470,11349
1471,17995
1472,25490
1473,12750
1474,23990
1475,18995
1476,14999
1477,14974
1479,6495
1480,10995
1482,12249
1483,11995
1484,14450
1485,14298
1487,7656
1488,7194
1489,9017
1490,4780
1491,7691
1492,3491
1494,19970
1496,14853
1498,17695
1499,15498
1500,7189
1501,5995
1502,14490
1504,15495
1505,8490
1506,9298
1509,11995
1510,6995
1511,8980
1513,19495
1515,7490
1516,16995
1517,28500
1518,9499
1519,17998
1520,11200
1521,32995
1522,16995
1524,13995
1525,14998
1526,7250
1527,8190
1528,8100
1529,19998
1530,16500
1531,4783
1533,9680
1534,13499
1535,7000
1536,7500
1537,17298
1538,10590
1539,13950
1540,8250
1541,33799
1542,8899
1543,11491
1544,7950
1545,17998
1546,12397
1547,8322
1548,16995
1549,6999
1550,7250
1552,12998
1553,9495
1554,8300
1555,7698
1557,19995
1558,11498
1561,22969
1562,7291
1563,23695
1564,15995
1565,12466
1566,14500
1567,7795
1569,3695
1571,6495
1573,27000
1574,11950
1575,10695
1577,5998
1578,16973
1583,7985
1584,6970
1585,30999
1586,8298
1589,5990
1590,19290
1591,12395
1592,15498
1594,5991
1595,6490
1597,10591
1599,15702
1600,12499
1601,7999
1602,17180
1604,9699
1605,15700
1606,7010
1607,15795
1609,16990
1610,16998
1611,6995
1612,9491
1614,13790
1615,18495
1616,16980
1618,7695
1619,11197
1620,4998
1621,17000
1623,14959
1624,18495
1625,11640
1626,3491
1627,6490
1629,15498
1631,15998
1632,26995
1633,6270
1634,11795
1635,17399
1636,13998
1637,22998
1638,7985
1639,17850
1640,7101
1641,12995
1642,14999
1643,7622
1644,34995
1645,9450
1646,7599
1647,7695
1648,21995
1649,16990
1651,9870
1653,16200
1654,21998
1656,20970
1657,15397
1658,11798
1660,11800
1661,16000
1663,14690
1664,16999
1665,7259
1666,14298
1668,8250
1670,22289
1671,14495
1672,7350
1673,21498
1674,9521
1675,15299
1676,7000
1679,8650
1680,14364
1681,17991
1682,14300
1684,14270
1685,7799
1686,19995
1687,15795
1688,31995
1689,11000
1690,10490
1691,9498
1692,22895
1694,15498
1695,7970
1696,4998
1699,15495
1701,4500
1702,6590
1703,10695
1704,9995
1705,14498
1706,14990
1707,10490
1708,7500
1709,15470
1711,10498
1712,4495
1713,6890
1715,4887
1718,10695
1719,23991
1720,13849
1721,16990
1722,13771
1723,14699
1725,9699
1726,9000
1727,2500
1728,6995
1729,8498
1730,7995
1731,5990
1732,18990
1734,10485
1735,8480
1736,15792
1737,17250
1738,11480
1739,16499
1740,17499
1741,7695
1742,10491
1743,9289
1746,32500
1747,10749
1748,15490
1750,8345
1751,14000
1752,33999
1753,11780
1754,7990
1755,14995
1756,7291
1757,22995
1758,7990
1760,11671
1761,6990
1762,26490
1763,9485
1764,16499
1765,9495
1766,21999
1767,37995
1768,8290
1769,12485
1770,7499
1773,9460
1774,22998
1775,18000
1777,8990
1778,12698
1779,7798
1780,14498
1781,23000
1783,6110
1784,14995
1785,12995
1786,15299
1787,8295
1788,3599
1789,12789
1790,7495
1793,11998
1794,18498
1795,19970
1796,6400
1797,10298
1798,6500
1800,18595
1802,14498
1803,6000
1804,12000
1805,32570
1806,5500
1807,14399
1808,14298
1809,12950
1810,6995
1811,15815
1812,10780
1814,7698
1815,6990
1819,13698
1820,13666
1821,7099
1823,21290
1824,7485
1825,20195
1826,5300
1827,17200
1829,8998
1830,15498
1831,9995
1833,9999
1835,6499
1836,13888
1837,13998
1838,7995
1839,11200
1840,8600
1841,11498
1845,14250
1847,19000
1848,15498
1849,4388
1850,8698
1853,23500
1854,28995
1856,8277
1858,19995
1859,13999
1860,7995
1861,2495
